Train 44, loss: 1.620196, train acc: 0.891897, train avg acc: 0.834090
Test 44, loss: 1.551902, test acc: 0.899109, test avg acc: 0.845831
Train 45, loss: 1.611215, train acc: 0.895460, train avg acc: 0.839383
Test 45, loss: 1.551352, test acc: 0.896272, test avg acc: 0.846744
Train 46, loss: 1.612127, train acc: 0.896274, train avg acc: 0.841793
Test 46, loss: 1.559826, test acc: 0.896272, test avg acc: 0.844483
Train 47, loss: 1.612589, train acc: 0.897394, train avg acc: 0.847539
Test 47, loss: 1.575672, test acc: 0.900729, test avg acc: 0.833145
Train 48, loss: 1.604344, train acc: 0.896987, train avg acc: 0.841449
Test 48, loss: 1.552543, test acc: 0.893436, test avg acc: 0.844837
Train 49, loss: 1.606221, train acc: 0.896173, train avg acc: 0.840355
Test 49, loss: 1.568311, test acc: 0.901540, test avg acc: 0.836762
Train 50, loss: 1.602619, train acc: 0.900957, train avg acc: 0.849512
Test 50, loss: 1.547397, test acc: 0.904781, test avg acc: 0.856221
Train 51, loss: 1.594622, train acc: 0.900957, train avg acc: 0.848192
Test 51, loss: 1.600670, test acc: 0.878849, test avg acc: 0.841012
Train 52, loss: 1.606804, train acc: 0.893628, train avg acc: 0.836099
Test 52, loss: 1.581443, test acc: 0.871151, test avg acc: 0.838517
Train 53, loss: 1.594992, train acc: 0.901975, train avg acc: 0.853037
Test 53, loss: 1.536318, test acc: 0.901945, test avg acc: 0.854424
Train 54, loss: 1.596452, train acc: 0.900753, train avg acc: 0.850120
Test 54, loss: 1.532418, test acc: 0.898298, test avg acc: 0.835634
Train 55, loss: 1.596280, train acc: 0.899634, train avg acc: 0.849132
Test 55, loss: 1.595833, test acc: 0.876418, test avg acc: 0.836581
Train 56, loss: 1.598772, train acc: 0.897700, train avg acc: 0.843347
Test 56, loss: 1.539601, test acc: 0.908023, test avg acc: 0.863070
Train 57, loss: 1.587992, train acc: 0.901975, train avg acc: 0.850242
Test 57, loss: 1.614814, test acc: 0.878039, test avg acc: 0.842349
Train 58, loss: 1.584959, train acc: 0.906657, train avg acc: 0.856397
Test 58, loss: 1.534312, test acc: 0.910859, test avg acc: 0.868017
Train 59, loss: 1.591535, train acc: 0.904112, train avg acc: 0.853866
Test 59, loss: 1.570432, test acc: 0.891815, test avg acc: 0.852209
Train 60, loss: 1.584077, train acc: 0.905639, train avg acc: 0.856955
Test 60, loss: 1.551340, test acc: 0.898703, test avg acc: 0.844791
Train 61, loss: 1.580937, train acc: 0.907370, train avg acc: 0.862596
Test 61, loss: 1.520523, test acc: 0.905997, test avg acc: 0.856593
Train 62, loss: 1.583066, train acc: 0.907370, train avg acc: 0.860023
Test 62, loss: 1.575059, test acc: 0.897488, test avg acc: 0.853767
Train 63, loss: 1.581537, train acc: 0.906352, train avg acc: 0.856943
Test 63, loss: 1.554295, test acc: 0.897893, test avg acc: 0.864087
Train 64, loss: 1.573772, train acc: 0.911034, train avg acc: 0.862620
Test 64, loss: 1.559914, test acc: 0.897488, test avg acc: 0.867860
Train 65, loss: 1.578062, train acc: 0.908388, train avg acc: 0.856887
Test 65, loss: 1.602154, test acc: 0.895057, test avg acc: 0.857291
Train 66, loss: 1.572829, train acc: 0.911136, train avg acc: 0.867327
Test 66, loss: 1.546867, test acc: 0.897083, test avg acc: 0.883453
Train 67, loss: 1.568604, train acc: 0.911034, train avg acc: 0.865227
Test 67, loss: 1.585625, test acc: 0.887358, test avg acc: 0.848047
Train 68, loss: 1.570218, train acc: 0.912866, train avg acc: 0.871062
Test 68, loss: 1.574571, test acc: 0.886548, test avg acc: 0.842890
Train 69, loss: 1.575623, train acc: 0.908286, train avg acc: 0.864057
Test 69, loss: 1.522983, test acc: 0.910454, test avg acc: 0.875715
Train 70, loss: 1.565067, train acc: 0.911543, train avg acc: 0.865145
Test 70, loss: 1.538638, test acc: 0.895057, test avg acc: 0.853029
Train 71, loss: 1.564829, train acc: 0.912256, train avg acc: 0.865977
Test 71, loss: 1.561657, test acc: 0.891815, test avg acc: 0.865047
Train 72, loss: 1.571019, train acc: 0.911340, train avg acc: 0.863106
Test 72, loss: 1.563820, test acc: 0.886953, test avg acc: 0.876802
Train 73, loss: 1.567130, train acc: 0.911238, train avg acc: 0.868072
Test 73, loss: 1.548903, test acc: 0.886143, test avg acc: 0.841273
Train 74, loss: 1.551528, train acc: 0.919178, train avg acc: 0.875683
Test 74, loss: 1.530977, test acc: 0.901135, test avg acc: 0.859593
Train 75, loss: 1.558260, train acc: 0.915920, train avg acc: 0.871749
Test 75, loss: 1.523942, test acc: 0.920989, test avg acc: 0.873331
Train 76, loss: 1.560348, train acc: 0.913477, train avg acc: 0.871486
Test 76, loss: 1.553113, test acc: 0.903971, test avg acc: 0.864622
Train 77, loss: 1.560511, train acc: 0.913172, train avg acc: 0.868317
Test 77, loss: 1.546858, test acc: 0.903971, test avg acc: 0.871267
Train 78, loss: 1.560651, train acc: 0.914292, train avg acc: 0.871064
