Namespace(ape=False, batch_size=32, dataset='modelnet40', deg=False, delta=True, dimkqv=32, dropout=0.5, emb_dims=1024, epochs=250, eval=False, exp_name='NLA2_S_smooth', k=20, lr=0.001, model='TransformerBaseline', model_path='', momentum=0.9, neighbors=False, no_cuda=False, num_points=1024, rpe=False, scale=False, seed=1, start_epoch=0, test_batch_size=16, use_sgd=True, visualize=False)
Using GPU : 0 from 1 devices
Namespace(ape=False, batch_size=32, dataset='modelnet40', deg=False, delta=True, dimkqv=32, dropout=0.5, emb_dims=1024, epochs=250, eval=False, exp_name='NLA2_S_smooth', k=20, lr=0.001, model='TransformerBaseline', model_path='', momentum=0.9, neighbors=False, no_cuda=False, num_points=1024, rpe=False, scale=False, seed=1, start_epoch=0, test_batch_size=16, use_sgd=True, visualize=False)
Using GPU : 0 from 1 devices
Test 38, loss: 1.598168, test acc: 0.878039, test avg acc: 0.820436
Train 39, loss: 1.563989, train acc: 0.907012, train avg acc: 0.857437
Test 39, loss: 1.515116, test acc: 0.899514, test avg acc: 0.856308
Train 40, loss: 1.561898, train acc: 0.905488, train avg acc: 0.854213
Test 40, loss: 1.576278, test acc: 0.882091, test avg acc: 0.853093
Train 41, loss: 1.557265, train acc: 0.909248, train avg acc: 0.857127
Test 41, loss: 1.505955, test acc: 0.911669, test avg acc: 0.861576
Train 42, loss: 1.560262, train acc: 0.907724, train avg acc: 0.861184
Test 42, loss: 1.548105, test acc: 0.887358, test avg acc: 0.833814
Train 43, loss: 1.553179, train acc: 0.911890, train avg acc: 0.865108
Test 43, loss: 1.559506, test acc: 0.895057, test avg acc: 0.843302
Train 44, loss: 1.551614, train acc: 0.908028, train avg acc: 0.862167
Test 44, loss: 1.529667, test acc: 0.900729, test avg acc: 0.846395
Train 45, loss: 1.551305, train acc: 0.912398, train avg acc: 0.865332
Test 45, loss: 1.565846, test acc: 0.891410, test avg acc: 0.845581
Train 46, loss: 1.552250, train acc: 0.909248, train avg acc: 0.860221
Test 46, loss: 1.566003, test acc: 0.895462, test avg acc: 0.847698
Train 47, loss: 1.549767, train acc: 0.913720, train avg acc: 0.868963
Test 47, loss: 1.503680, test acc: 0.910859, test avg acc: 0.858622
Train 48, loss: 1.545375, train acc: 0.913821, train avg acc: 0.867205
Test 48, loss: 1.540949, test acc: 0.897083, test avg acc: 0.866552
Train 49, loss: 1.544762, train acc: 0.913211, train avg acc: 0.865370
Test 49, loss: 1.524773, test acc: 0.892626, test avg acc: 0.866797
Train 50, loss: 1.539596, train acc: 0.912297, train avg acc: 0.864302
Test 50, loss: 1.500002, test acc: 0.913695, test avg acc: 0.867081
Train 51, loss: 1.530535, train acc: 0.918293, train avg acc: 0.874489
Test 51, loss: 1.524720, test acc: 0.903160, test avg acc: 0.859872
Train 52, loss: 1.533007, train acc: 0.919919, train avg acc: 0.877742
Test 52, loss: 1.493963, test acc: 0.909238, test avg acc: 0.866052
Train 53, loss: 1.539278, train acc: 0.913313, train avg acc: 0.867312
Test 53, loss: 1.520254, test acc: 0.906807, test avg acc: 0.860250
Train 54, loss: 1.531356, train acc: 0.917581, train avg acc: 0.875816
Test 54, loss: 1.511112, test acc: 0.903566, test avg acc: 0.853273
Train 55, loss: 1.532552, train acc: 0.916463, train avg acc: 0.872651
Test 55, loss: 1.521943, test acc: 0.917342, test avg acc: 0.879297
Train 56, loss: 1.528950, train acc: 0.920427, train avg acc: 0.879128
Test 56, loss: 1.518457, test acc: 0.904781, test avg acc: 0.853959
Train 57, loss: 1.524833, train acc: 0.923679, train avg acc: 0.880620
Test 57, loss: 1.512852, test acc: 0.903971, test avg acc: 0.858779
Train 58, loss: 1.531415, train acc: 0.919309, train avg acc: 0.874894
Test 58, loss: 1.534018, test acc: 0.899514, test avg acc: 0.866529
Train 59, loss: 1.528680, train acc: 0.919004, train avg acc: 0.875039
Test 59, loss: 1.516427, test acc: 0.900324, test avg acc: 0.860988
Train 60, loss: 1.524176, train acc: 0.921037, train avg acc: 0.879632
Test 60, loss: 1.524097, test acc: 0.889384, test avg acc: 0.854866
Train 61, loss: 1.520081, train acc: 0.923374, train avg acc: 0.884710
Test 61, loss: 1.512554, test acc: 0.905186, test avg acc: 0.857959
Train 62, loss: 1.519785, train acc: 0.921138, train avg acc: 0.879758
Test 62, loss: 1.513671, test acc: 0.905997, test avg acc: 0.867669
Train 63, loss: 1.518891, train acc: 0.924797, train avg acc: 0.887461
Test 63, loss: 1.487899, test acc: 0.914100, test avg acc: 0.869953
Train 64, loss: 1.510963, train acc: 0.929980, train avg acc: 0.894352
Test 64, loss: 1.492466, test acc: 0.903971, test avg acc: 0.861390
Train 65, loss: 1.513549, train acc: 0.925711, train avg acc: 0.884808
Test 65, loss: 1.544508, test acc: 0.902755, test avg acc: 0.853331
Train 66, loss: 1.510095, train acc: 0.924187, train avg acc: 0.882188
Test 66, loss: 1.513360, test acc: 0.904376, test avg acc: 0.866331
Train 67, loss: 1.513979, train acc: 0.926423, train avg acc: 0.888171
Test 67, loss: 1.533094, test acc: 0.891410, test avg acc: 0.859436
Train 68, loss: 1.503593, train acc: 0.928354, train avg acc: 0.887328
Test 68, loss: 1.540358, test acc: 0.914506, test avg acc: 0.868291
Train 69, loss: 1.500797, train acc: 0.930285, train avg acc: 0.892915
Test 69, loss: 1.539387, test acc: 0.913695, test avg acc: 0.863093
Train 70, loss: 1.505015, train acc: 0.928760, train avg acc: 0.891394
Test 70, loss: 1.528833, test acc: 0.882496, test avg acc: 0.854000
Train 71, loss: 1.496748, train acc: 0.934959, train avg acc: 0.902127
Test 71, loss: 1.532801, test acc: 0.889789, test avg acc: 0.853023
Train 72, loss: 1.508316, train acc: 0.929268, train avg acc: 0.891605
Test 72, loss: 1.558268, test acc: 0.888979, test avg acc: 0.858756
Train 73, loss: 1.502934, train acc: 0.929776, train avg acc: 0.894691
Test 73, loss: 1.494661, test acc: 0.912885, test avg acc: 0.865674
Train 74, loss: 1.503686, train acc: 0.926524, train avg acc: 0.889430
Test 74, loss: 1.505071, test acc: 0.905592, test avg acc: 0.869238
Train 75, loss: 1.500351, train acc: 0.929980, train avg acc: 0.894885
Test 75, loss: 1.534826, test acc: 0.899514, test avg acc: 0.870337
Train 76, loss: 1.496780, train acc: 0.930894, train avg acc: 0.894415
Test 76, loss: 1.501262, test acc: 0.918963, test avg acc: 0.877669
Train 77, loss: 1.488765, train acc: 0.940244, train avg acc: 0.907064
Test 77, loss: 1.527942, test acc: 0.896272, test avg acc: 0.872576
Train 78, loss: 1.490797, train acc: 0.934451, train avg acc: 0.898722
Test 78, loss: 1.509753, test acc: 0.897083, test avg acc: 0.871512
Train 79, loss: 1.494171, train acc: 0.934350, train avg acc: 0.902196
Test 79, loss: 1.494190, test acc: 0.910049, test avg acc: 0.867698
Train 80, loss: 1.483965, train acc: 0.936077, train avg acc: 0.901544
Test 80, loss: 1.507863, test acc: 0.910454, test avg acc: 0.872948
Train 81, loss: 1.490278, train acc: 0.932622, train avg acc: 0.898165
Test 81, loss: 1.502539, test acc: 0.904781, test avg acc: 0.876953
Train 82, loss: 1.485093, train acc: 0.935264, train avg acc: 0.902498
Test 82, loss: 1.497159, test acc: 0.897893, test avg acc: 0.858384
Train 83, loss: 1.480128, train acc: 0.939634, train avg acc: 0.908001
Test 83, loss: 1.552787, test acc: 0.883712, test avg acc: 0.849302
Train 84, loss: 1.484628, train acc: 0.936687, train avg acc: 0.904659
Test 84, loss: 1.502155, test acc: 0.901135, test avg acc: 0.856093
Train 85, loss: 1.475554, train acc: 0.940752, train avg acc: 0.911150
Test 85, loss: 1.508808, test acc: 0.904376, test avg acc: 0.873006
Train 86, loss: 1.476021, train acc: 0.942683, train avg acc: 0.914205
Test 86, loss: 1.512693, test acc: 0.897893, test avg acc: 0.868628
Train 87, loss: 1.470759, train acc: 0.943902, train avg acc: 0.914052
Test 87, loss: 1.511360, test acc: 0.910454, test avg acc: 0.886076
Train 88, loss: 1.477837, train acc: 0.939228, train avg acc: 0.904629
Test 88, loss: 1.495022, test acc: 0.913695, test avg acc: 0.878628
Train 89, loss: 1.477848, train acc: 0.939939, train avg acc: 0.907204
Test 89, loss: 1.487858, test acc: 0.920583, test avg acc: 0.867628
Train 90, loss: 1.472760, train acc: 0.941260, train avg acc: 0.908546
Test 90, loss: 1.473889, test acc: 0.916532, test avg acc: 0.879680
Train 91, loss: 1.468515, train acc: 0.945935, train avg acc: 0.917824
Test 91, loss: 1.493181, test acc: 0.908833, test avg acc: 0.877645
Train 92, loss: 1.470291, train acc: 0.941260, train avg acc: 0.910430
Test 92, loss: 1.491433, test acc: 0.911264, test avg acc: 0.870128
Train 93, loss: 1.473965, train acc: 0.940041, train avg acc: 0.908922
Test 93, loss: 1.534587, test acc: 0.910049, test avg acc: 0.869703
Train 94, loss: 1.463493, train acc: 0.946138, train avg acc: 0.921949
Test 94, loss: 1.493606, test acc: 0.897893, test avg acc: 0.867471
Train 95, loss: 1.462240, train acc: 0.945833, train avg acc: 0.917951
Test 95, loss: 1.510252, test acc: 0.900729, test avg acc: 0.881535
Train 96, loss: 1.457708, train acc: 0.947561, train avg acc: 0.920420
